"PassengerId","Survived.0","Survived.1"
892,0.839252336448598,0.160747663551402
893,0.153333333333333,0.846666666666667
894,0.839252336448598,0.160747663551402
895,0.839252336448598,0.160747663551402
896,0.153333333333333,0.846666666666667
897,0.839252336448598,0.160747663551402
898,0.153333333333333,0.846666666666667
899,0.839252336448598,0.160747663551402
900,0.153333333333333,0.846666666666667
901,0.839252336448598,0.160747663551402
902,0.839252336448598,0.160747663551402
903,0.839252336448598,0.160747663551402
904,0.153333333333333,0.846666666666667
905,0.839252336448598,0.160747663551402
906,0.153333333333333,0.846666666666667
907,0.153333333333333,0.846666666666667
908,0.839252336448598,0.160747663551402
909,0.839252336448598,0.160747663551402
910,0.153333333333333,0.846666666666667
911,0.153333333333333,0.846666666666667
912,0.839252336448598,0.160747663551402
913,0.153333333333333,0.846666666666667
914,0.153333333333333,0.846666666666667
915,0.839252336448598,0.160747663551402
916,0.153333333333333,0.846666666666667
917,0.839252336448598,0.160747663551402
918,0.153333333333333,0.846666666666667
919,0.839252336448598,0.160747663551402
920,0.839252336448598,0.160747663551402
921,0.839252336448598,0.160747663551402
922,0.839252336448598,0.160747663551402
923,0.839252336448598,0.160747663551402
924,0.153333333333333,0.846666666666667
925,0.964285714285714,0.0357142857142857
926,0.839252336448598,0.160747663551402
927,0.839252336448598,0.160747663551402
928,0.153333333333333,0.846666666666667
929,0.964285714285714,0.0357142857142857
930,0.839252336448598,0.160747663551402
931,0.839252336448598,0.160747663551402
932,0.839252336448598,0.160747663551402
933,0.839252336448598,0.160747663551402
934,0.839252336448598,0.160747663551402
935,0.153333333333333,0.846666666666667
936,0.153333333333333,0.846666666666667
937,0.839252336448598,0.160747663551402
938,0.839252336448598,0.160747663551402
939,0.839252336448598,0.160747663551402
940,0.153333333333333,0.846666666666667
941,0.153333333333333,0.846666666666667
942,0.839252336448598,0.160747663551402
943,0.839252336448598,0.160747663551402
944,0.153333333333333,0.846666666666667
945,0.153333333333333,0.846666666666667
